Company,City,COUNTY,Zip,Geographic Market,Number of Employees Fulltime,Corporate Plus,Annual Sales 2020,Annual Sales 2021,Annual Sales 2022,Revenue Classification,Revenue Class,Primary Industry ,Primary NAICS,Primary Industry 
Company 696,Los Angeles,Los Angeles,90071,N,1,,,,,up to $1M,Class 1,Financial Services Professional Services ,Other Activities Related to Real Estate,Financial Services
Company 697,Carson,Los Angeles,90746,N,3,,,,,$1M to $10M,Class 2,Consumer Products Professional Services Retail and Apparel ,Men's and Boys' Clothing and Furnishings Merchant Wholesalers,Consumer Products
Company 698,huntington park,Los Angeles,90255,L,3,,"647,000.00",,,up to $1M,Class 1,Professional Services ,Security Guards and Patrol Services,Professional Services
Company 699,Redondo Beach,Los Angeles,90278,N,1,,"465,000.00","823,000.00","1,452,000.00",$1M to $10M,Class 2,Consumer Products Professional Services Technology ,Administrative Management and General Management Consulting Services,Consumer Products
Company 700,Long Beach,Los Angeles,90805,L,1,,"4,265,036.00","2,130,056.00",,$1M to $10M,Class 2,Manufacturing Suppliers ,Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers,Manufacturing Suppliers
Company 701,Gardena,Los Angeles,90249,L,32,,"3,904,120.00","5,702,000.00","5,065,000.00",$1M to $10M,Class 2,Utilities ,"All Other Professional, Scientific, and Technical Services",Utilities
Company 702,Santa Monica,Los Angeles,90404,N,6,,"658,758.00",,,up to $1M,Class 1,Consumer Products Professional Services Technology ,Custom Computer Programming Services,Consumer Products
Company 703,Van Nuys,Los Angeles,91406,L,85,,,,,$1M to $10M,Class 2,Professional Services ,Security Guards and Patrol Services,Professional Services
Company 704,San Fernando,Los Angeles,91340,I,11,,,,,$1M to $10M,Class 2,Petrochemical and Energy Professional Services Utilities ,Drafting Services,Petrochemical and Energy
Company 705,Los Angeles,Los Angeles,90024,N,10,,"1,202,010.00","812,013.00","1,602,433.00",$1M to $10M,Class 2,"Advertising, Entertainment, Media and Sports ",Motion Picture and Video Distribution,"Advertising, Entertainment, Media and Sports"
Company 706,Inglewood,Los Angeles,90301,N,3,,"397,000.00","394,795.00","520,194.00",up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Healthcare Transportation ",Sign Manufacturing,"Advertising, Entertainment, Media and Sports"
Company 707,Los Angeles,Los Angeles,90026,L,2,,,,,up to $1M,Class 1,Consumer Products Professional Services Utilities ,New Single-Family Housing Construction (except For-Sale Builders),Consumer Products
Company 708,El Segundo,Los Angeles,90245,I,15,,,,,up to $1M,Class 1,Transportation ,Other Support Activities for Air Transportation,Transportation
Company 709,Altadena,Los Angeles,91001,N,2,,,,,up to $1M,Class 1,Professional Services Technology ,Custom Computer Programming Services,Professional Services
Company 710,Compton,Los Angeles,90222,L,10,,"4,609,497.00","2,530,055.00","2,000,000.00",$1M to $10M,Class 2,Food and Beverage Healthcare Retail and Apparel ,Structural Steel and Precast Concrete Contractors,Food and Beverage
Company 711,Los Angeles,Los Angeles,90045,N,3,,"167,295.00","486,725.00","550,000.00",up to $1M,Class 1,"Advertising, Entertainment, Media and Sports ",Motion Picture and Video Production,"Advertising, Entertainment, Media and Sports"
Company 712,Los Angeles,Los Angeles,90066,N,18,,,,,$10M to $50M,Class 3,"Advertising, Entertainment, Media and Sports Technology ",Marketing Consulting Services,"Advertising, Entertainment, Media and Sports"
Company 713,Venice,Los Angeles,90291,I,1,,"86,444.00","176,624.00","177,539.00",up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Technology ",Advertising Agencies,"Advertising, Entertainment, Media and Sports"
Company 714,Venice,Los Angeles,90291,I,2,,,,,up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Healthcare Technology ",Advertising Agencies,"Advertising, Entertainment, Media and Sports"
Company 715,Los Angeles,Los Angeles,90067,N,1,,,,,up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Professional Services ",Human Resources Consulting Services,"Advertising, Entertainment, Media and Sports"
Company 716,Los Angeles,Los Angeles,90071,L,3,,,,,$1M to $10M,Class 2,Financial Services Professional Services Technology ,Offices of Lawyers,Financial Services
Company 717,Torrance,Los Angeles,90504,L,1,,"202,437.00","201,760.00","174,630.00",up to $1M,Class 1,Manufacturing Suppliers ,Business Associations,Manufacturing Suppliers
Company 718,Gardena,Los Angeles,90248,N,13,,"1,025,542.00","1,291,331.00","1,441,312.00",$1M to $10M,Class 2,Professional Services Transportation Utilities ,Other Construction Material Merchant Wholesalers,Professional Services
Company 719,Gardena,Los Angeles,90248,R,7,,"604,000.00","750,000.00","1,100,000.00",$1M to $10M,Class 2,Automotive ,"All Other Professional, Scientific, and Technical Services",Automotive
Company 720,Los Angeles ,Los Angeles,90038,N,1,,"30,000.00",,,up to $1M,Class 1,Retail and Apparel ,Other Specialized Design Services,Retail and Apparel
Company 721,El Monte,Los Angeles,91731,N,5,,"1,290,000.00","1,565,827.79",,$1M to $10M,Class 2,Manufacturing Suppliers Utilities ,Water and Sewer Line and Related Structures Construction,Manufacturing Suppliers
Company 722,Culver City,Los Angeles,90230,R,12,,"1,959,514.00","2,841,935.00","6,210,943.00",$1M to $10M,Class 2,Professional Services Technology ,Computer Training,Professional Services
Company 723,Altadena,Los Angeles,91001,N,2,,,,,up to $1M,Class 1,Consumer Products Food and Beverage Technology ,Other Grocery and Related Products Merchant Wholesalers,Consumer Products
Company 724,Carson,Los Angeles,90746,N,62,,"4,650,000.00","5,100,000.00","7,739,837.00",up to $1M,Class 1,Manufacturing Suppliers Professional Services Technology ,Electrical Contractors and Other Wiring Installation Contractors,Manufacturing Suppliers
Company 725,San Dimas,Los Angeles,91773,I,4,,,,,up to $1M,Class 1,Food and Beverage ,Other Commercial and Service Industry Machinery Manufacturing,Food and Beverage
Company 726,Malibu,Los Angeles,90265,N,2,,"746,692.00","3,495,362.00",,$1M to $10M,Class 2,"Advertising, Entertainment, Media and Sports ",Motion Picture and Video Production,"Advertising, Entertainment, Media and Sports"
Company 727,Malibu,Los Angeles,90265,N,1,,,,,$1M to $10M,Class 2,"Advertising, Entertainment, Media and Sports ",Motion Picture and Video Production,"Advertising, Entertainment, Media and Sports"
Company 728,Pasadena,Los Angeles,91104,N,1,,,,,up to $1M,Class 1,"Advertising, Entertainment, Media and Sports ",Motion Picture and Video Production,"Advertising, Entertainment, Media and Sports"
Company 729,Bellflower,Los Angeles,90706,R,10,,"1,013,711.00","1,191,326.59","1,402,841.00",$1M to $10M,Class 2,Professional Services ,"Plumbing, Heating, and Air-Conditioning Contractors",Professional Services
Company 730,La Mirada,Los Angeles,90638,L,56,,"1,277,482.00","1,378,325.00","1,344,750.00",$1M to $10M,Class 2,Transportation ,Couriers and Express Delivery Services,Transportation
Company 731,Sherman Oaks,Los Angeles,91423,N,1,,"11,086.00","20,500.00",0,up to $1M,Class 1,Technology ,Custom Computer Programming Services,Technology
Company 732,Los Angeles,Los Angeles,90066,L,1,,,,,up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Professional Services Technology ",Janitorial Services ,"Advertising, Entertainment, Media and Sports"
Company 733,Whittier ,Los Angeles,90606,N,4,,"751,743.00",,,up to $1M,Class 1,Consumer Products Healthcare Retail and Apparel ,Office Supplies and Stationery Stores,Consumer Products
Company 734,Walnut,Los Angeles,91789,I,2,,,,,$1M to $10M,Class 2,Food and Beverage ,Fish and Seafood Merchant Wholesalers,Food and Beverage
Company 735,Long Beach,Los Angeles,90807,R,48,,"5,400,000.00","6,400,000.00",,$1M to $10M,Class 2,Manufacturing Suppliers Petrochemical and Energy Utilities ,All Other Specialty Trade Contractors,Manufacturing Suppliers
Company 736,los angeles ,Los Angeles,90023,I,3,,"980,000.00","1,600,000.00",,$1M to $10M,Class 2,"Advertising, Entertainment, Media and Sports Professional Services Technology ",Motion Picture and Video Production,"Advertising, Entertainment, Media and Sports"
Company 737,Long Beach,Los Angeles,90804,N,6,,"4,500,000.00","4,527,063.00","6,718,914.00",$1M to $10M,Class 2,"Advertising, Entertainment, Media and Sports Healthcare Technology ",Computer Terminal and Other Computer Peripheral Equipment Manufacturing,"Advertising, Entertainment, Media and Sports"
Company 738,los angeles,Los Angeles,90019,L,1,,,,,up to $1M,Class 1,"Advertising, Entertainment, Media and Sports ",Marketing Consulting Services,"Advertising, Entertainment, Media and Sports"
Company 739,Vernon,Los Angeles,90058,L,4,,,,,$1M to $10M,Class 2,Food and Beverage ,Fresh Fruit and Vegetable Merchant Wholesalers,Food and Beverage
Company 740,San Fernando,Los Angeles,91340,L,2,,"450,000.00",,,up to $1M,Class 1,Professional Services ,Electrical Contractors and Other Wiring Installation Contractors,Professional Services
Company 741,Montebello,Los Angeles,90640,R,6,,,,,$1M to $10M,Class 2,Consumer Products Food and Beverage ,Spice and Extract Manufacturing,Consumer Products
Company 742,Beverly Hills,Los Angeles,90212,N,20,,"450,000.00","425,000.00","997,428.00",$1M to $10M,Class 2,"Advertising, Entertainment, Media and Sports Professional Services Technology ",Facilities Support Services,"Advertising, Entertainment, Media and Sports"
Company 743,Encino,Los Angeles,91436,R,4,,"569,000.00","10,066,645.00","1,000,000.00",$1M to $10M,Class 2,Professional Services Retail and Apparel ,Building Inspection Services,Professional Services
Company 744,Diamond Bar,Los Angeles,91765,N,1,,,,,up to $1M,Class 1,Manufacturing Suppliers ,Plumbing Fixture Fitting and Trim Manufacturing,Manufacturing Suppliers
Company 745,Santa Fe Springs,Los Angeles,90670,N,27,,"24,556,497.00","56,528,598.00","78,645,587.49",over $50M,Class 4,Professional Services ,Security Guards and Patrol Services,Professional Services
Company 746,Santa Clarita,Los Angeles,91350,I,1,,"135,074.00",1,,up to $1M,Class 1,Consumer Products Healthcare Professional Services ,Marketing Consulting Services,Consumer Products
Company 747,West Covina,Los Angeles,91792,N,1,,"27,000.00",,,up to $1M,Class 1,Professional Services Technology Utilities ,Drafting Services,Professional Services
Company 748,Winnetka ,Los Angeles,91306,L,4,,,,,up to $1M,Class 1,Retail and Apparel ,Painting and Wall Covering Contractors,Retail and Apparel
Company 749,Los Angeles,Los Angeles,90024,I,1,,"1,305,000.00",,,$1M to $10M,Class 2,"Advertising, Entertainment, Media and Sports Retail and Apparel Technology ","Independent Artists, Writers, and Performers","Advertising, Entertainment, Media and Sports"
Company 750,Los Angeles,Los Angeles,90017,N,7,,,,,$1M to $10M,Class 2,Financial Services ,Title Abstract and Settlement Offices,Financial Services
Company 751,Torrance,Los Angeles,90503,L,3,,"333,000.00",,,up to $1M,Class 1,Professional Services Transportation Utilities ,Engineering Services,Professional Services
Company 752,Playa del Rey,Los Angeles,90293,N,1,,"1,879,992.00","2,319,936.43","2,125,333.00",$1M to $10M,Class 2,"Advertising, Entertainment, Media and Sports Automotive Technology ","Independent Artists, Writers, and Performers","Advertising, Entertainment, Media and Sports"
Company 753,VALENCIA,Los Angeles,91355,R,32,,"3,800,000.00","4,085,212.26","4,400,000.00",$1M to $10M,Class 2,Healthcare Professional Services Technology ,Administrative Management and General Management Consulting Services,Healthcare
Company 754,Manhattan Beach,Los Angeles,90266,N,1,,,,,$1M to $10M,Class 2,Healthcare Technology ,Other Scientific and Technical Consulting Services,Healthcare
Company 755,Baldwin Park,Los Angeles,91706,N,1,,"10,002.00","10,003.00","10,004.00",up to $1M,Class 1,Professional Services ,Industrial Building Construction,Professional Services
Company 756,San Pedro,Los Angeles,90731,N,1,,,,,up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Professional Services ",Commercial Photography,"Advertising, Entertainment, Media and Sports"
Company 757,Rowland Heights,Los Angeles,91748,N,1,,,,,up to $1M,Class 1,Consumer Products Retail and Apparel ,Women's Handbag and Purse Manufacturing,Consumer Products
Company 758,Torrance,Los Angeles,90504,L,1,,,,,up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Professional Services ",Motion Picture and Video Distribution,"Advertising, Entertainment, Media and Sports"
Company 759,Covina,Los Angeles,91724,L,8,,"1,143,641.37","1,010,445.96",,$1M to $10M,Class 2,"Advertising, Entertainment, Media and Sports ","Plumbing, Heating, and Air-Conditioning Contractors","Advertising, Entertainment, Media and Sports"
Company 760,Woodland Hills,Los Angeles,91367,N,3,,,,,up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Consumer Products Food and Beverage ",Motion Picture and Video Production,"Advertising, Entertainment, Media and Sports"
Company 761,Monrovia,Los Angeles,91016,N,8,,,,,up to $1M,Class 1,Financial Services Professional Services ,Architectural Services,Financial Services
Company 762,WEST HILLS,Los Angeles,91307,L,2,,,,,up to $1M,Class 1,Professional Services ,Other Accounting Services,Professional Services
Company 763,BURBANK,Los Angeles,91505,N,2,,"297,000.00","399,000.00",,up to $1M,Class 1,"Advertising, Entertainment, Media and Sports ",Graphic Design Services,"Advertising, Entertainment, Media and Sports"
Company 764,Los Angeles,Los Angeles,90048,N,1,,"17,278.00","49,585.00","150,000.00",up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Financial Services Technology ",Marketing Consulting Services,"Advertising, Entertainment, Media and Sports"
Company 765,Downey,Los Angeles,90242,L,14,,,,,up to $1M,Class 1,Professional Services ,541930 - Translation and Interpretation Services,Professional Services
Company 766,Inglewood,Los Angeles,90302,L,12,,,,,up to $1M,Class 1,Healthcare Professional Services Technology ,Electrical Contractors and Other Wiring Installation Contractors,Healthcare
Company 767,Los Angeles,Los Angeles,90045,N,1,,"130,000.00","180,000.00","220,000.00",up to $1M,Class 1,"Advertising, Entertainment, Media and Sports Professional Services ","Promoters of Performing Arts, Sports, and Similar Events without Facilities","Advertising, Entertainment, Media and Sports"
Company 768,LOS ANGELES,Los Angeles,90011,N,3,,,,,$1M to $10M,Class 2,Manufacturing Suppliers Professional Services Retail and Apparel ,"Women's, Girls', and Infants' Cut and Sew Apparel Manufacturing",Manufacturing Suppliers
Company 769,santa fe springs,Los Angeles,90670,I,5,,"12,689,297.00","3,200,596.00","3,704,802.92",$1M to $10M,Class 2,"Advertising, Entertainment, Media and Sports Automotive ",Other Professional Equipment and Supplies Merchant Wholesalers,"Advertising, Entertainment, Media and Sports"
Company 770,SANTA FE SPRINGS ,Los Angeles,90720,N,224,,"204,558,513.00","323,058,490.00","326,768,654.00",over $50M,Class 4,Automotive Consumer Products Transportation ,Paint and Coating Manufacturing,Automotive
Company 771,Cerritos,Los Angeles,90703,N,2,,,,,up to $1M,Class 1,Automotive Manufacturing Suppliers ,Offices of Certified Public Accountants,Automotive
Company 772,Cerritos ,Los Angeles,90703,I,19,,,,,$1M to $10M,Class 2,Healthcare Manufacturing Suppliers Retail and Apparel ,Telephone Apparatus Manufacturing,Healthcare
Company 773,Cerritos,Los Angeles,90703,N,102,,"7,704,060.34","9,876,677.61","10,735,867.00",$10M to $50M,Class 3,Food and Beverage Healthcare Retail and Apparel ,Custom Architectural Woodwork and Millwork Manufacturing,Food and Beverage
Company 774,Long Beach,Los Angeles,90810,L,5,,"1,200,061.00",,,$1M to $10M,Class 2,Professional Services ,Commercial and Institutional Building Construction,Professional Services
